dateraw,cp_flag,exdateraw,tauday,x,s,tr,money,oprice,volume,iv,deltachk
27Oct2025,C,05Dec2025,39,300.0,191.4900054931641,0.0411,-6.465169135234153,0.065,2.0,0.53320779296875,0.0068801693753883
27Oct2025,C,21Aug2026,298,390.0,191.4900054931641,0.0411,-6.245046537433328,1.55,69.0,0.4415339050292969,0.0668925459471364
27Oct2025,C,18Sep2026,326,390.0,191.4900054931641,0.0411,-6.249613204099996,2.04,4557.0,0.4444635632324218,0.0813586294886977
27Oct2025,P,07Nov2025,11,225.0,191.4900054931641,0.0411,-6.748284541019268,33.8,25.0,0.5249070947265625,-0.956420289609098
27Oct2025,P,14Nov2025,18,230.0,191.4900054931641,0.0411,-6.727447300967159,38.65,8.0,0.5485884985351563,-0.9231530861795582
27Oct2025,P,21Nov2025,25,250.0,191.4900054931641,0.0411,-6.645207358694774,58.625,1.0,0.5927775097656252,-0.9476978563582804
27Oct2025,P,28Nov2025,32,240.0,191.4900054931641,0.0411,-6.6871710198816965,48.95,1.0,0.5141650146484374,-0.9167303379672463
27Oct2025,P,05Dec2025,39,230.0,191.4900054931641,0.0411,-6.730872300967159,39.675,1.0,0.4670463452148438,-0.8632817334635305
27Oct2025,P,20Mar2026,144,280.0,191.4900054931641,0.0411,-6.551287006721105,88.925,4.0,0.3635317553710938,-0.9304058967854012
27Oct2025,P,21Aug2026,298,300.0,191.4900054931641,0.0411,-6.5074108019008206,109.52500000000002,3.0,0.3210517114257812,-0.9009319278346112
27Oct2025,C,07Nov2025,11,95.0,191.4900054931641,0.0409,-7.610499321464417,106.2,1.0,1.88671931640625,0.9894903148398216
27Oct2025,C,14Nov2025,18,130.0,191.4900054931641,0.0409,-7.297977873720487,71.675,6.0,1.1206098657226562,0.9543780407610444
27Oct2025,C,21Nov2025,25,85.0,191.4900054931641,0.0409,-7.723997178796863,116.425,1.0,1.6005879345703122,0.984419734336924
27Oct2025,C,28Nov2025,32,125.0,191.4900054931641,0.0409,-7.33947080909599,76.825,1.0,0.9414068359375,0.9537534791344692
27Oct2025,C,19Dec2025,53,119.0,191.4900054931641,0.0409,-7.392069386620095,83.225,5.0,0.8642591699218749,0.9481495393310156
27Oct2025,C,16Jan2026,81,119.0,191.4900054931641,0.0409,-7.396613831064539,83.925,1.0,0.7753928710937501,0.9344567052343234
27Oct2025,C,20Feb2026,116,95.0,191.4900054931641,0.0409,-7.627540988131083,107.95,1.0,0.8801281518554687,0.954200917241902
27Oct2025,C,20Mar2026,144,85.0,191.4900054931641,0.0409,-7.743311067685752,118.125,5.0,0.9094247338867189,0.9586919624726103
27Oct2025,C,17Apr2026,172,135.0,191.4900054931641,0.0409,-7.2852319901820835,71.875,9.0,0.5963175134277343,0.8655714405524111
27Oct2025,C,15May2026,200,115.0,191.4900054931641,0.0409,-7.450119084701708,90.7,12.0,0.6635165484619143,0.9081379339024874
27Oct2025,C,18Jun2026,234,126.0,191.4900054931641,0.0409,-7.364287560081734,81.925,2.0,0.6096230444335939,0.8760090146630526
27Oct2025,P,19Dec2025,53,226.0,191.4900054931641,0.0409,-6.750657880459339,29.450000000000003,31.0,0.420904228515625,-0.8201367186483992
27Oct2025,P,16Jan2026,81,265.0,191.4900054931641,0.0409,-6.596007498189847,64.625,1.0,0.3715883154296875,-0.9569784183403364
27Oct2025,P,20Feb2026,116,270.0,191.4900054931641,0.0409,-6.582995920733249,70.0,4.0,0.3458317370605468,-0.9449988745807112
27Oct2025,P,17Apr2026,172,270.0,191.4900054931641,0.0409,-6.592084809622138,71.7,4.0,0.352972778930664,-0.8882564672254402
27Oct2025,P,15May2026,200,70.0,191.4900054931641,0.0409,-7.946555971015599,0.3,7.0,0.6567417138671876,-0.009156577032107
27Oct2025,P,18Jun2026,234,280.0,191.4900054931641,0.0409,-6.565779863863962,82.32499999999999,2.0,0.3447025979614257,-0.873615965354634
27Oct2025,P,18Sep2026,326,310.0,191.4900054931641,0.0409,-6.478928915585766,110.95,2.0,0.3169623968505859,-0.9093028266968356
28Oct2025,C,14Nov2025,17,105.0,201.02999877929688,0.0407,-7.559994708326194,102.175,22.0,1.3398470507812497,0.9917417918149546
28Oct2025,C,21Nov2025,24,95.0,201.02999877929688,0.0407,-7.661208722438732,112.25,2.0,1.35547197265625,0.990308267296074
28Oct2025,C,19Dec2025,52,129.0,201.02999877929688,0.0407,-7.359795431899823,79.9,2.0,0.8789074609374999,0.9358280003070418
28Oct2025,C,16Jan2026,80,117.0,201.02999877929688,0.0407,-7.461956123685962,92.325,1.0,0.8698743481445312,0.9399859457148516
28Oct2025,C,17Apr2026,171,115.0,201.02999877929688,0.0407,-7.49389515234269,96.45,2.0,0.7282131671142578,0.9204375070739385
28Oct2025,C,15May2026,199,85.0,201.02999877929688,0.0407,-7.800698246437845,124.8,5.0,0.8444839770507812,0.957992268678264
28Oct2025,C,18Jun2026,233,63.0,201.02999877929688,0.0407,-8.105706046377898,146.35000000000002,10.0,0.9738772143554688,0.972168261318767
28Oct2025,C,21Aug2026,297,110.0,201.02999877929688,0.0407,-7.558696914913523,104.325,5.0,0.6873810559082032,0.9092076544698944
28Oct2025,C,18Sep2026,325,90.0,201.02999877929688,0.0407,-7.763889832597897,122.95,5.0,0.7686790710449221,0.935818666910221
28Oct2025,P,28Nov2025,31,105.0,201.02999877929688,0.0407,-7.562255819437305,0.09,20.0,0.945313046875,-0.0060731430748873
28Oct2025,P,19Dec2025,52,129.0,201.02999877929688,0.0407,-7.359795431899823,0.47,1.0,0.6655306884765627,-0.0277616724034898
28Oct2025,P,16Jan2026,80,118.0,201.02999877929688,0.0407,-7.453445434018053,0.485,37.0,0.6274451318359376,-0.0232437305814829
28Oct2025,P,17Apr2026,171,60.0,201.02999877929688,0.0407,-8.14448271848384,0.1,50.0,0.71679970703125,-0.0029924738118279
28Oct2025,P,15May2026,199,60.0,201.02999877929688,0.0407,-8.14900494070606,0.14,2.0,0.6914093359375001,-0.0038254376729839
28Oct2025,P,18Jun2026,233,255.0,201.02999877929688,0.0407,-6.707577227611005,57.65,3.0,0.3915771292114257,-0.6986922146747591
28Oct2025,P,18Sep2026,325,60.0,201.02999877929688,0.0407,-8.16935494070606,0.4549999999999999,6.0,0.6347692773437501,-0.0086889904066657
29Oct2025,C,07Nov2025,9,90.0,207.0399932861328,0.0403,-7.742296873250818,113.325,5.0,2.566409833984375,0.9884336300807736
29Oct2025,C,14Nov2025,16,145.0,207.0399932861328,0.0403,-7.266492245604954,58.375,2.0,0.901368173828125,0.97676322451185
29Oct2025,C,21Nov2025,23,157.5,207.0399932861328,0.0403,-7.184919974204284,46.45,1.0,0.7016631396484375,0.9510573411361624
29Oct2025,C,28Nov2025,30,120.0,207.0399932861328,0.0403,-7.457973134132371,83.9,3.0,1.1088911743164065,0.970286529844272
29Oct2025,C,05Dec2025,37,155.0,207.0399932861328,0.0403,-7.203159204439614,49.57500000000001,6.0,0.6523472265625001,0.9354048463350378
29Oct2025,C,19Dec2025,51,128.0,207.0399932861328,0.0403,-7.396792946328133,76.4,1.0,0.8305681005859374,0.9574900136737472
29Oct2025,C,16Jan2026,79,118.0,207.0399932861328,0.0403,-7.482616363559863,86.75,1.0,0.8017597949218749,0.9570276463933328
29Oct2025,C,20Feb2026,114,115.0,207.0399932861328,0.0403,-7.5139660818845,90.425,5.0,0.7482935327148439,0.9500349294457296
29Oct2025,C,20Mar2026,142,105.0,207.0399932861328,0.0403,-7.609415637868004,100.725,4.0,0.7807639111328125,0.952528073300106
29Oct2025,C,17Apr2026,170,125.0,207.0399932861328,0.0403,-7.439540028501004,82.725,30.0,0.6492954992675781,0.9196408693953008
29Oct2025,C,15May2026,198,145.0,207.0399932861328,0.0403,-7.295597801160509,66.625,16.0,0.5752605950927734,0.8652242880574763
29Oct2025,C,18Jun2026,232,173.0,207.0399932861328,0.0403,-7.124477250670606,48.225,9.0,0.5236253692626953,0.7581479601034777
29Oct2025,C,21Aug2026,296,320.0,207.0399932861328,0.0403,-6.519682770009533,6.575000000000001,13.0,0.4497735687255859,0.2142436249325878
29Oct2025,C,18Sep2026,324,115.0,207.0399932861328,0.0403,-7.5475494152178335,96.125,1.0,0.6371496246337891,0.9097505054642052
29Oct2025,P,07Nov2025,9,260.0,207.0399932861328,0.0403,-6.681424912565555,57.5,3.0,0.8554701953125,-0.9474920716973804
29Oct2025,P,21Nov2025,23,310.0,207.0399932861328,0.0403,-6.507773134990781,107.275,1.0,0.7334011035156249,-0.9815443177237394
