dateraw,cp_flag,exdateraw,tauday,x,s,tr,money,oprice,volume,iv,deltachk
26Jan2026,C,06Feb2026,11,47.0,52.02999877929688,0.0379,-7.011082494192131,5.225,1.0,0.5127001855468749,0.8848653422325149
26Jan2026,C,06Feb2026,11,49.5,52.02999877929688,0.0379,-6.959257426327545,2.815,20.0,0.3398503515625,0.8142760421560209
26Jan2026,C,06Feb2026,11,50.0,52.02999877929688,0.0379,-6.949207090474043,2.345,26.0,0.3120185986328124,0.7831555900299929
26Jan2026,C,06Feb2026,11,50.5,52.02999877929688,0.0379,-6.939256759620875,1.95,102.0,0.2968820312499999,0.7346871479921109
26Jan2026,C,06Feb2026,11,51.0,52.02999877929688,0.0379,-6.929404463177864,1.55,167.0,0.2719799365234374,0.681278399956363
26Jan2026,C,06Feb2026,11,51.5,52.02999877929688,0.0379,-6.919648288232499,1.16,26.0,0.2402419726562499,0.6155199158671981
26Jan2026,C,06Feb2026,11,52.0,52.02999877929688,0.0379,-6.909986377320762,0.84,443.0,0.2216874707031249,0.525477992462739
26Jan2026,C,06Feb2026,11,52.5,52.02999877929688,0.0379,-6.900416926304612,0.6,353.0,0.2177812597656249,0.4251463955971347
26Jan2026,C,06Feb2026,11,53.0,52.02999877929688,0.0379,-6.890938182350068,0.42,427.0,0.2172929833984375,0.3297758273621654
26Jan2026,C,06Feb2026,11,53.5,52.02999877929688,0.0379,-6.881548442000229,0.275,310.0,0.21289849609375,0.2405753262614383
26Jan2026,C,06Feb2026,11,54.0,52.02999877929688,0.0379,-6.872246049337915,0.185,321.0,0.215828154296875,0.172926707384987
26Jan2026,C,06Feb2026,11,54.5,52.02999877929688,0.0379,-6.863029394232991,0.1149999999999999,71.0,0.215828154296875,0.117288400533333
26Jan2026,C,06Feb2026,11,55.0,52.02999877929688,0.0379,-6.853896910669718,0.0849999999999999,429.0,0.2265702343749999,0.0864946830444842
26Jan2026,C,06Feb2026,11,55.5,52.02999877929688,0.0379,-6.844847075149801,0.055,53.0,0.2304764453125,0.0587822016481757
26Jan2026,C,06Feb2026,11,56.0,52.02999877929688,0.0379,-6.8358784051670405,0.045,8.0,0.2461012890625,0.0471625111735723
26Jan2026,C,13Feb2026,18,48.0,52.02999877929688,0.0379,-6.991081862772076,4.325,18.0,0.3828186718749999,0.8444259663334679
26Jan2026,C,13Feb2026,18,50.0,52.02999877929688,0.0379,-6.950259868251821,2.545,21.0,0.2983468603515624,0.7460202388527355
26Jan2026,C,13Feb2026,18,51.0,52.02999877929688,0.0379,-6.930457240955642,1.775,10.0,0.2685620019531249,0.6541023092049567
26Jan2026,C,13Feb2026,18,52.0,52.02999877929688,0.0379,-6.91103915509854,1.11,439.0,0.2397536962890624,0.528921036098129
26Jan2026,C,13Feb2026,18,53.0,52.02999877929688,0.0379,-6.8919909601278455,0.625,87.0,0.2229081616210937,0.3780357686231118
26Jan2026,C,13Feb2026,18,54.0,52.02999877929688,0.0379,-6.8732988271156925,0.32,55.0,0.21289849609375,0.2348745304464568
26Jan2026,C,13Feb2026,18,55.0,52.02999877929688,0.0379,-6.854949688447496,0.16,189.0,0.2153398779296875,0.1361325549959112
26Jan2026,C,13Feb2026,18,56.0,52.02999877929688,0.0379,-6.836931182944818,0.0849999999999999,31.0,0.2226640234374999,0.0771437088942902
26Jan2026,C,13Feb2026,18,57.0,52.02999877929688,0.0379,-6.819231605845417,0.055,12.0,0.2402419726562499,0.0496437101564832
26Jan2026,C,20Feb2026,25,38.0,52.02999877929688,0.0379,-7.225749491731359,14.1,36.0,0.6054726953125001,0.981176148904103
26Jan2026,C,20Feb2026,25,39.0,52.02999877929688,0.0379,-7.1997740053280985,13.2,26.0,0.6601596484375001,0.9616238234697716
26Jan2026,C,20Feb2026,25,45.0,52.02999877929688,0.0379,-7.056673161687425,7.275000000000001,3.0,0.50586431640625,0.8814445708919904
26Jan2026,C,20Feb2026,25,47.0,52.02999877929688,0.0379,-7.013188049747686,5.375,10.0,0.39649041015625,0.8546815232480107
26Jan2026,C,20Feb2026,25,50.0,52.02999877929688,0.0379,-6.951312646029598,2.64,32.0,0.2851633984374999,0.7275291169326137
