dateraw,cp_flag,exdateraw,tauday,x,s,tr,money,oprice,volume,iv,deltachk
27Oct2025,C,21Nov2025,25,82.5,79.30999755859375,0.0411,-6.872398559906029,1.2000000000000002,2.0,0.3132392895507812,0.3424809292560349
27Oct2025,C,19Dec2025,53,82.5,79.30999755859375,0.0411,-6.876965226572695,1.7749999999999997,6.0,0.2773509765624999,0.3959630567790692
27Oct2025,C,20Feb2026,116,95.0,79.30999755859375,0.0411,-6.746161628312789,0.525,7.0,0.2580640600585938,0.1404580819809365
27Oct2025,C,20Mar2026,144,95.0,79.30999755859375,0.0411,-6.7507282949794565,0.875,321.0,0.2795482202148437,0.1982426678844455
27Oct2025,P,19Dec2025,53,80.0,79.30999755859375,0.0411,-6.907736885239449,3.45,1.0,0.2680737255859374,-0.4901477343803062
27Oct2025,P,20Feb2026,116,80.0,79.30999755859375,0.0411,-6.918011885239449,4.6,1.0,0.2485426708984375,-0.4595940670247979
27Oct2025,P,20Mar2026,144,82.5,79.30999755859375,0.0411,-6.8918068932393615,6.35,4.0,0.2390212817382812,-0.5317200225627392
27Oct2025,C,07Nov2025,11,85.0,79.30999755859375,0.0409,-6.840253533264284,0.25,9.0,0.403326279296875,0.1743907937190268
27Oct2025,C,14Nov2025,18,85.0,79.30999755859375,0.0409,-6.841389644375394,0.325,1.0,0.3867248828124999,0.2295397707575937
27Oct2025,C,28Nov2025,32,82.0,79.30999755859375,0.0409,-6.87959387582368,0.95,2.0,0.3186103295898437,0.394199738666604
27Oct2025,C,16Jan2026,81,100.0,79.30999755859375,0.0409,-6.68909571487762,0.15,1.0,0.3203192968749999,0.0806678197041509
27Oct2025,P,07Nov2025,11,80.0,79.30999755859375,0.0409,-6.900878155080719,2.825,1.0,0.3823303955078124,-0.5313862846284876
27Oct2025,P,21Nov2025,25,80.0,79.30999755859375,0.0409,-6.903150377302941,3.15,2.0,0.2915109912109374,-0.515426573053765
27Oct2025,P,16Jan2026,81,85.0,79.30999755859375,0.0409,-6.8516146443753945,7.75,14.0,0.2491530163574218,-0.6751959456223043
28Oct2025,C,21Nov2025,24,82.5,78.38999938964844,0.0407,-6.860529536532233,1.0,7.0,0.3920959228515625,0.3330992200819355
28Oct2025,C,19Dec2025,52,70.0,78.38999938964844,0.0407,-7.029354810045732,8.5,1.0,0.4528863305664062,0.7827800252796093
28Oct2025,C,20Mar2026,143,95.0,78.38999938964844,0.0407,-6.738670382716772,0.8249999999999998,3.0,0.2985909985351562,0.1977976895511049
28Oct2025,P,21Nov2025,24,79.0,78.38999938964844,0.0407,-6.903879977405847,2.55,5.0,0.3440007006835937,-0.5053583166157125
28Oct2025,P,19Dec2025,52,80.0,78.38999938964844,0.0407,-6.895823417421209,4.3,8.0,0.2943185803222655,-0.5299992574907987
28Oct2025,P,16Jan2026,80,90.0,78.38999938964844,0.0407,-6.782562603987048,12.5,1.0,0.4323787231445312,-0.7043713713359963
28Oct2025,P,20Feb2026,115,80.0,78.38999938964844,0.0407,-6.905998417421209,5.400000000000001,3.0,0.2672192419433594,-0.4900484740944389
29Oct2025,C,07Nov2025,9,81.0,77.9800033569336,0.0403,-6.871197836627083,0.8,1.0,0.4126035302734374,0.2950373291015579
29Oct2025,C,14Nov2025,16,83.0,77.9800033569336,0.0403,-6.847925827947368,0.625,25.0,0.429693203125,0.2647218319744606
29Oct2025,P,07Nov2025,9,80.0,77.9800033569336,0.0403,-6.88362035662564,3.325,1.0,0.6284216845703126,-0.5791640158933284
29Oct2025,P,16Jan2026,79,80.0,77.9800033569336,0.0403,-6.894814801070084,4.3,2.0,0.247077841796875,-0.5355104708639671
30Oct2025,C,14Nov2025,15,85.0,78.19000244140625,0.0405,-6.826656530137979,1.025,2.0,0.6689486230468751,0.2960734836530171
30Oct2025,C,19Dec2025,50,90.0,78.19000244140625,0.0405,-6.77512311629803,0.7,4.0,0.3952697192382813,0.1975349062036273
30Oct2025,C,16Jan2026,78,100.0,78.19000244140625,0.0405,-6.674262600640204,0.15,10.0,0.3183661914062499,0.0618651699505587
30Oct2025,C,20Mar2026,141,92.5,78.19000244140625,0.0405,-6.762349142109915,1.275,5.0,0.2929758203124999,0.2278325555561919
31Oct2025,C,14Nov2025,14,83.0,78.95999908447266,0.0405,-6.86010605471594,0.9,4.0,0.5009815527343751,0.3286355747886496
31Oct2025,C,21Nov2025,21,85.0,78.95999908447266,0.0405,-6.837420406022222,0.325,3.0,0.327155166015625,0.1920465291467566
31Oct2025,C,19Dec2025,49,80.0,78.95999908447266,0.0405,-6.902545027838657,2.5,6.0,0.3270330969238281,0.498437228017603
31Oct2025,C,16Jan2026,77,85.0,78.95999908447266,0.0405,-6.846420406022222,1.15,24.0,0.25977302734375,0.3133016058112045
31Oct2025,C,20Feb2026,112,95.0,78.95999908447266,0.0405,-6.7408197709119975,0.7,1.0,0.3037179003906249,0.1732910165706808
31Oct2025,C,20Mar2026,140,95.0,78.95999908447266,0.0405,-6.745319770911998,0.925,204.0,0.2883371948242186,0.1950747331670264
31Oct2025,P,14Nov2025,14,78.0,78.95999908447266,0.0405,-6.922237835822947,1.95,5.0,0.506840869140625,-0.4252366701308833
31Oct2025,P,21Nov2025,21,82.5,78.95999908447266,0.0405,-6.867273369171904,4.25,2.0,0.3300848242187499,-0.6861281638277624
31Oct2025,P,19Dec2025,49,80.0,78.95999908447266,0.0405,-6.902545027838657,3.55,1.0,0.2976144458007811,-0.5062296899673033
31Oct2025,P,16Jan2026,77,82.5,78.95999908447266,0.0405,-6.876273369171903,5.55,20.0,0.2695385546875,-0.5883659442189919
31Oct2025,P,20Mar2026,140,77.5,78.95999908447266,0.0405,-6.948918726153237,4.15,2.0,0.258796474609375,-0.3845687606559507
03Nov2025,C,14Nov2025,11,,78.95999908447266,0.0406,-6.847652085891447,1.05,2.0,0.5141650146484374,0.2627553384710674
