dateraw,cp_flag,exdateraw,tauday,x,s,tr,money,oprice,volume,iv,deltachk
04Mar2026,C,13Mar2026,9,330.0,405.2000122070313,0.0375,-7.114382712736366,75.775,7.0,0.684573466796875,0.9756990182340892
04Mar2026,C,13Mar2026,9,335.0,405.2000122070313,0.0375,-7.099344835371825,70.9,3.0,0.6665072412109377,0.9698752020094894
04Mar2026,C,13Mar2026,9,350.0,405.2000122070313,0.0375,-7.055542212713432,55.975,1.0,0.549076774902344,0.9601448455979188
04Mar2026,C,13Mar2026,9,355.0,405.2000122070313,0.0375,-7.041357577721476,51.025000000000006,244.0,0.5127001855468749,0.9549241059203556
04Mar2026,C,13Mar2026,9,360.0,405.2000122070313,0.0375,-7.027371335746736,46.15,240.0,0.6223182299804688,0.8977216494271558
04Mar2026,C,13Mar2026,9,365.0,405.2000122070313,0.0375,-7.0135780136144,41.25,121.0,0.5512740185546876,0.8963380591871368
04Mar2026,C,13Mar2026,9,370.0,405.2000122070313,0.0375,-6.999972361558622,36.575,202.0,0.5272264074707032,0.8749833969771972
04Mar2026,C,13Mar2026,9,372.5,405.2000122070313,0.0375,-6.993238329377277,34.3,134.0,0.5502974658203126,0.8479453926109946
04Mar2026,C,13Mar2026,9,375.0,405.2000122070313,0.0375,-6.986549341226481,31.725,107.0,0.495122236328125,0.8524501991291493
04Mar2026,C,13Mar2026,9,377.5,405.2000122070313,0.0375,-6.979904798507812,29.525,103.0,0.4788260125732422,0.8393180946647818
04Mar2026,C,13Mar2026,9,380.0,405.2000122070313,0.0375,-6.97330411447646,27.275,28.0,0.4035704174804688,0.8553141270608527
04Mar2026,C,13Mar2026,9,382.5,405.2000122070313,0.0375,-6.966746713930301,25.225,18.0,0.4160214648437499,0.8236431512126321
04Mar2026,C,13Mar2026,9,385.0,405.2000122070313,0.0375,-6.960232032909107,22.75,16.0,0.3763490100097656,0.8187228594353639
04Mar2026,C,13Mar2026,9,387.5,405.2000122070313,0.0375,-6.95375951840349,20.775,8.0,0.37500625,0.7891981216791178
04Mar2026,C,13Mar2026,9,390.0,405.2000122070313,0.0375,-6.947328628073199,18.525,63.0,0.3466862207031249,0.772326713109894
04Mar2026,C,13Mar2026,9,392.5,405.2000122070313,0.0375,-6.940938829974429,16.549999999999997,46.0,0.3377751770019531,0.7403214056990364
04Mar2026,C,13Mar2026,9,395.0,405.2000122070313,0.0375,-6.93458960229577,14.7,78.0,0.3320989642333984,0.7028786503245497
04Mar2026,C,13Mar2026,9,397.5,405.2000122070313,0.0375,-6.928280433102505,12.925,85.0,0.3248358532714843,0.6626717175754394
04Mar2026,C,13Mar2026,9,400.0,405.2000122070313,0.0375,-6.922010820088909,11.225000000000003,775.0,0.3177558459472656,0.6188042057375039
04Mar2026,C,13Mar2026,9,402.5,405.2000122070313,0.0375,-6.915780270338273,9.65,583.0,0.312384805908203,0.5712951497249743
04Mar2026,C,13Mar2026,9,405.0,405.2000122070313,0.0375,-6.909588300090352,8.225000000000001,2561.0,0.3065254895019531,0.5213470661388235
04Mar2026,C,13Mar2026,9,407.5,405.2000122070313,0.0375,-6.903434434515974,6.925,582.0,0.3018258294677735,0.4696228724031807
04Mar2026,C,13Mar2026,9,410.0,405.2000122070313,0.0375,-6.897318207498538,5.974999999999999,3222.0,0.3133613586425781,0.422331748420727
04Mar2026,C,13Mar2026,9,412.5,405.2000122070313,0.0375,-6.891239161422156,4.725,767.0,0.2934030621337889,0.3652553222329234
04Mar2026,C,13Mar2026,9,415.0,405.2000122070313,0.0375,-6.885196846966193,3.85,3515.0,0.2897409893798828,0.3148373425567959
04Mar2026,C,13Mar2026,9,417.5,405.2000122070313,0.0375,-6.879190822905981,3.0499999999999994,768.0,0.2851633984374999,0.2660586039159722
04Mar2026,C,13Mar2026,9,420.0,405.2000122070313,0.0375,-6.873220655919478,2.415,3355.0,0.282233740234375,0.2217084585996945
04Mar2026,C,13Mar2026,9,422.5,405.2000122070313,0.0375,-6.867285920399663,1.89,796.0,0.2806468420410155,0.1825504373828602
04Mar2026,C,13Mar2026,9,425.0,405.2000122070313,0.0375,-6.861386198272474,1.46,1473.0,0.2784495983886719,0.1472935186592393
04Mar2026,C,13Mar2026,9,427.5,405.2000122070313,0.0375,-6.855521078820077,1.12,248.0,0.2768627001953124,0.1171652862881705
04Mar2026,C,13Mar2026,9,430.0,405.2000122070313,0.0375,-6.849690158509284,0.85,951.0,0.2761302856445312,0.0922503750747834
04Mar2026,C,13Mar2026,9,432.5,405.2000122070313,0.0375,-6.843893040824957,0.65,173.0,0.2769847692871093,0.0726850800941717
04Mar2026,C,13Mar2026,9,435.0,405.2000122070313,0.0375,-6.838129336108207,0.495,307.0,0.2775951147460937,0.0564820876509865
04Mar2026,C,13Mar2026,9,437.5,405.2000122070313,0.0375,-6.832398661399222,0.38,54.0,0.2802806347656249,0.0446020558248776
04Mar2026,C,13Mar2026,9,440.0,405.2000122070313,0.0375,-6.826700640284584,0.295,668.0,0.2824778784179687,0.0347999243758364
