dateraw,cp_flag,exdateraw,tauday,x,s,tr,money,oprice,volume,iv,deltachk
04Mar2026,C,13Mar2026,9,290.0,339.8099975585937,0.0375,-7.0676002724120135,49.900000000000006,2.0,0.6623568920898439,0.943502051865995
04Mar2026,C,13Mar2026,9,315.0,339.8099975585937,0.0375,-6.9849085565669,25.450000000000003,2.0,0.452153916015625,0.8678572755376726
04Mar2026,C,13Mar2026,9,325.0,339.8099975585937,0.0375,-6.953656013062796,17.225,4.0,0.4113828393554687,0.7692676373537934
04Mar2026,C,13Mar2026,9,330.0,339.8099975585937,0.0375,-6.938388540932007,13.800000000000002,24.0,0.3999083447265625,0.6958892021086185
04Mar2026,C,13Mar2026,9,332.5,339.8099975585937,0.0375,-6.930841335296624,11.525,15.0,0.3469303588867187,0.6712618196303367
04Mar2026,C,13Mar2026,9,335.0,339.8099975585937,0.0375,-6.923350663567467,9.875,162.0,0.3366765551757812,0.6230805934815851
04Mar2026,C,13Mar2026,9,337.5,339.8099975585937,0.0375,-6.915915685079948,8.35,39.0,0.3371648315429688,0.5685851645679078
04Mar2026,C,13Mar2026,9,340.0,339.8099975585937,0.0375,-6.908535577782326,6.825,36.0,0.3227606787109374,0.5129856991159988
04Mar2026,C,13Mar2026,9,342.5,339.8099975585937,0.0375,-6.901209537690253,5.575,14.0,0.3225165405273437,0.455365857392007
04Mar2026,C,13Mar2026,9,345.0,339.8099975585937,0.0375,-6.893936778361173,4.675,52.0,0.3345403460693359,0.4033534673387594
04Mar2026,C,13Mar2026,9,347.5,339.8099975585937,0.0375,-6.886716530387687,3.5,31.0,0.3076851458740234,0.3372885415706726
04Mar2026,C,13Mar2026,9,350.0,339.8099975585937,0.0375,-6.879548040909074,2.69,34.0,0.3015206567382812,0.2806741122359865
04Mar2026,C,13Mar2026,9,352.5,339.8099975585937,0.0375,-6.8724305731402096,2.185,3.0,0.3096992858886719,0.238669238519369
04Mar2026,C,13Mar2026,9,355.0,339.8099975585937,0.0375,-6.865363405917117,1.495,19.0,0.2906565075683593,0.1800758946057406
04Mar2026,C,13Mar2026,9,357.5,339.8099975585937,0.0375,-6.858345833258471,1.1,9.0,0.2990792749023437,0.149768423527461
04Mar2026,C,13Mar2026,9,360.0,339.8099975585937,0.0375,-6.851377163942377,0.82,6.0,0.2919992675781249,0.1120517306748672
04Mar2026,C,13Mar2026,9,365.0,339.8099975585937,0.0375,-6.837583841810042,0.37,7.0,0.3176337768554687,0.0822249240971412
04Mar2026,C,13Mar2026,9,370.0,339.8099975585937,0.0375,-6.823978189754263,0.265,19.0,0.3276434423828125,0.0536237530474592
04Mar2026,C,13Mar2026,9,372.5,339.8099975585937,0.0375,-6.817244157572919,0.205,2.0,0.3364324169921875,0.045064493879899
04Mar2026,C,13Mar2026,9,375.0,339.8099975585937,0.0375,-6.8105551694221225,0.22,12.0,0.3591372680664062,0.044308817730364
04Mar2026,C,13Mar2026,9,377.5,339.8099975585937,0.0375,-6.803910626703454,0.1749999999999999,48.0,0.3635317553710938,0.0360992215657453
04Mar2026,C,13Mar2026,9,380.0,339.8099975585937,0.0375,-6.7973099426721015,0.155,32.0,0.3735414208984374,0.0313954629073072
04Mar2026,C,13Mar2026,9,385.0,339.8099975585937,0.0375,-6.7842378611047485,0.145,2.0,0.4038145556640625,0.0272553968417209
04Mar2026,C,20Mar2026,16,230.0,339.8099975585937,0.0375,-7.300443553136004,109.925,11.0,0.7460962890625,0.9951625481710056
04Mar2026,C,20Mar2026,16,260.0,339.8099975585937,0.0375,-7.177841231043672,79.925,9.0,0.532231240234375,0.99329803739198
04Mar2026,C,20Mar2026,16,270.0,339.8099975585937,0.0375,-7.140100903060825,70.225,10.0,0.5629926513671876,0.97850600566419
04Mar2026,C,20Mar2026,16,280.0,339.8099975585937,0.0375,-7.10373325888995,60.225,3.0,0.6281775463867189,0.9394582785861272
04Mar2026,C,20Mar2026,16,290.0,339.8099975585937,0.0375,-7.06864193907868,50.55,11.0,0.5816692224121094,0.9155772831437156
04Mar2026,C,20Mar2026,16,300.0,339.8099975585937,0.0375,-7.034740387402999,40.65,34.0,0.4682670361328125,0.9093443217890462
04Mar2026,C,20Mar2026,16,310.0,339.8099975585937,0.0375,-7.001950564580008,31.625,32.0,0.413946290283203,0.8690015477569493
04Mar2026,C,20Mar2026,16,320.0,339.8099975585937,0.0375,-6.970201866265428,23.25,33.0,0.3907531628417968,0.7867489162175334
04Mar2026,C,20Mar2026,16,322.5,339.8099975585937,0.0375,-6.962419725823373,20.85,4.0,0.4132138757324218,0.7474831940544597
04Mar2026,C,20Mar2026,16,325.0,339.8099975585937,0.0375,-6.954697679729462,19.5,8.0,0.3943542010498047,0.7260469713633371
04Mar2026,C,20Mar2026,16,330.0,339.8099975585937,0.0375,-6.939430207598674,15.55,46.0,0.3595034753417968,0.6731629694350065
04Mar2026,C,20Mar2026,16,335.0,339.8099975585937,0.0375,-6.9243923302341335,12.3,22.0,0.3411931115722656,0.6019105169815103
04Mar2026,C,20Mar2026,16,337.5,339.8099975585937,0.0375,-6.916957351746615,10.675,40.0,0.3344793115234374,0.5619406867472346
04Mar2026,C,20Mar2026,16,340.0,339.8099975585937,0.0375,-6.909577244448992,9.325,82.0,0.3295965478515624,0.5200282490997808
